dataset,csv_bytes,rows,cols,codec,bytes,ratio_vs_csv,enc_mbs,dec_mbs
data_city_building_codes_for_missouri_hhyk-mgim.csv,63541,970,9,lz4 -9,24421,2.6019,20.11,31.92
data_city_building_codes_for_missouri_hhyk-mgim.csv,63541,970,9,orc+snappy,29570,2.1488,105.93,211.68
data_city_building_codes_for_missouri_hhyk-mgim.csv,63541,970,9,orc+zlib,21178,3.0003,60.81,238.81
data_city_building_codes_for_missouri_hhyk-mgim.csv,63541,970,9,orc+zstd,21470,2.9595,101.53,363.09
data_city_building_codes_for_missouri_hhyk-mgim.csv,63541,970,9,parquet+brotli,25163,2.5252,1.87,96.28
data_city_building_codes_for_missouri_hhyk-mgim.csv,63541,970,9,parquet+gzip,26173,2.4277,29.8,130.01
data_city_building_codes_for_missouri_hhyk-mgim.csv,63541,970,9,parquet+snappy,36318,1.7496,100.23,2.4
data_city_building_codes_for_missouri_hhyk-mgim.csv,63541,970,9,parquet+zstd,24211,2.6245,16.33,175.57
data_city_building_codes_for_missouri_hhyk-mgim.csv,63541,970,9,polypress,10818,5.8736,2.12,70.21
data_city_building_codes_for_missouri_hhyk-mgim.csv,63541,970,9,polypress+brotli,10258,6.1943,,
data_city_building_codes_for_missouri_hhyk-mgim.csv,63541,970,9,polypress+zstd,11157,5.6952,,
data_city_building_codes_for_missouri_hhyk-mgim.csv,63541,970,9,polypress-turbo,10662,5.9596,3.09,55.74
data_city_building_codes_for_missouri_hhyk-mgim.csv,63541,970,9,xz -9e,15872,4.0033,5.76,22.78
data_city_building_codes_for_missouri_hhyk-mgim.csv,63541,970,9,zstd -19,17399,3.652,3.82,24.09
data_city_building_codes_for_missouri_hhyk-mgim.csv,63541,970,9,zstd -22,17399,3.652,1.22,19.94
data_city_building_codes_for_missouri_hhyk-mgim.csv,63541,970,9,zstd -3,20358,3.1212,22.4,25.33
dallasopendata_dallas_police_officer_involved_shootings_4gmt-jyx2.csv,68668,267,9,brotli -q11,11846,5.7967,1.38,25.58
dallasopendata_dallas_police_officer_involved_shootings_4gmt-jyx2.csv,68668,267,9,bzip2 -9,11578,5.9309,14.75,28.34
dallasopendata_dallas_police_officer_involved_shootings_4gmt-jyx2.csv,68668,267,9,feather+lz4,32498,2.113,449.32,519.88
dallasopendata_dallas_police_officer_involved_shootings_4gmt-jyx2.csv,68668,267,9,feather+zstd,21106,3.2535,277.74,536.34
dallasopendata_dallas_police_officer_involved_shootings_4gmt-jyx2.csv,68668,267,9,gzip -9,14585,4.7081,22.03,37.99
dallasopendata_dallas_police_officer_involved_shootings_4gmt-jyx2.csv,68668,267,9,lz4 -9,18145,3.7844,26.13,34.82
dallasopendata_dallas_police_officer_involved_shootings_4gmt-jyx2.csv,68668,267,9,orc+snappy,23925,2.8701,104.2,316.85
dallasopendata_dallas_police_officer_involved_shootings_4gmt-jyx2.csv,68668,267,9,orc+zlib,16497,4.1625,73.29,292.1
dallasopendata_dallas_police_officer_involved_shootings_4gmt-jyx2.csv,68668,267,9,orc+zstd,15977,4.2979,122.56,409.11
dallasopendata_dallas_police_officer_involved_shootings_4gmt-jyx2.csv,68668,267,9,parquet+brotli,16895,4.0644,1.57,154.68
dallasopendata_dallas_police_officer_involved_shootings_4gmt-jyx2.csv,68668,267,9,parquet+gzip,19578,3.5074,57.66,157.47
dallasopendata_dallas_police_officer_involved_shootings_4gmt-jyx2.csv,68668,267,9,parquet+snappy,27477,2.4991,138.47,2.59
dallasopendata_dallas_police_officer_involved_shootings_4gmt-jyx2.csv,68668,267,9,parquet+zstd,18001,3.8147,9.19,190.74
dallasopendata_dallas_police_officer_involved_shootings_4gmt-jyx2.csv,68668,267,9,polypress,11186,6.1387,1.59,97.4
dallasopendata_dallas_police_officer_involved_shootings_4gmt-jyx2.csv,68668,267,9,polypress+brotli,10915,6.2912,,
dallasopendata_dallas_police_officer_involved_shootings_4gmt-jyx2.csv,68668,267,9,polypress+zstd,12881,5.331,,
dallasopendata_dallas_police_officer_involved_shootings_4gmt-jyx2.csv,68668,267,9,polypress-turbo,11351,6.0495,1.94,96.97
dallasopendata_dallas_police_officer_involved_shootings_4gmt-jyx2.csv,68668,267,9,xz -9e,12228,5.6156,5.66,24.01
dallasopendata_dallas_police_officer_involved_shootings_4gmt-jyx2.csv,68668,267,9,zstd -19,13409,5.121,3.26,26.23
dallasopendata_dallas_police_officer_involved_shootings_4gmt-jyx2.csv,68668,267,9,zstd -22,13409,5.121,1.25,22.25
dallasopendata_dallas_police_officer_involved_shootings_4gmt-jyx2.csv,68668,267,9,zstd -3,15409,4.4564,22.87,28.93
data_posted_street_sweeping_routes_krk7-ayq2.csv,81645,864,5,brotli -q11,9847,8.2914,1.27,27.7
data_posted_street_sweeping_routes_krk7-ayq2.csv,81645,864,5,bzip2 -9,10863,7.5159,14.83,30.67
