dataset,csv_bytes,rows,cols,codec,bytes,ratio_vs_csv,enc_mbs,dec_mbs
data_rural_point_of_contacts_buxa-ujat.csv,99126,401,17,parquet+brotli,17128,5.7874,3.27,159.05
data_rural_point_of_contacts_buxa-ujat.csv,99126,401,17,parquet+gzip,18884,5.2492,75.51,175.13
data_rural_point_of_contacts_buxa-ujat.csv,99126,401,17,parquet+snappy,24069,4.1184,149.72,3.68
data_rural_point_of_contacts_buxa-ujat.csv,99126,401,17,parquet+zstd,18274,5.4244,28.95,216.88
data_rural_point_of_contacts_buxa-ujat.csv,99126,401,17,polypress,8834,11.221,3.07,134.33
data_rural_point_of_contacts_buxa-ujat.csv,99126,401,17,polypress+brotli,8569,11.568,,
data_rural_point_of_contacts_buxa-ujat.csv,99126,401,17,polypress+zstd,9744,10.173,,
data_rural_point_of_contacts_buxa-ujat.csv,99126,401,17,xz -9e,10416,9.5167,5.81,36.27
data_rural_point_of_contacts_buxa-ujat.csv,99126,401,17,zstd -19,10914,9.0825,2.61,37.95
data_rural_point_of_contacts_buxa-ujat.csv,99126,401,17,zstd -22,10865,9.1234,1.23,32.56
data_rural_point_of_contacts_buxa-ujat.csv,99126,401,17,zstd -3,12764,7.7661,33.14,39.12
data_lottery_powerball_winning_numbers_beginn_d6yy-54nr.csv,100562,1973,4,brotli -q11,17396,5.7808,1.12,34.41
data_lottery_powerball_winning_numbers_beginn_d6yy-54nr.csv,100562,1973,4,bzip2 -9,13798,7.2882,18.01,31.72
data_lottery_powerball_winning_numbers_beginn_d6yy-54nr.csv,100562,1973,4,feather+lz4,50834,1.9782,577.79,875.08
data_lottery_powerball_winning_numbers_beginn_d6yy-54nr.csv,100562,1973,4,feather+zstd,32642,3.0808,450.63,773.92
data_lottery_powerball_winning_numbers_beginn_d6yy-54nr.csv,100562,1973,4,gzip -9,20904,4.8107,12.84,53.18
data_lottery_powerball_winning_numbers_beginn_d6yy-54nr.csv,100562,1973,4,lz4 -9,28334,3.5492,20.06,44.5
data_lottery_powerball_winning_numbers_beginn_d6yy-54nr.csv,100562,1973,4,orc+snappy,22349,4.4996,180.87,573.86
data_lottery_powerball_winning_numbers_beginn_d6yy-54nr.csv,100562,1973,4,orc+zlib,15563,6.4616,148.31,591.57
data_lottery_powerball_winning_numbers_beginn_d6yy-54nr.csv,100562,1973,4,orc+zstd,14285,7.0397,238.7,947.84
data_lottery_powerball_winning_numbers_beginn_d6yy-54nr.csv,100562,1973,4,parquet+brotli,30066,3.3447,1.49,160.13
data_lottery_powerball_winning_numbers_beginn_d6yy-54nr.csv,100562,1973,4,parquet+gzip,32010,3.1416,32.3,248.26
data_lottery_powerball_winning_numbers_beginn_d6yy-54nr.csv,100562,1973,4,parquet+snappy,44688,2.2503,195.27,3.71
data_lottery_powerball_winning_numbers_beginn_d6yy-54nr.csv,100562,1973,4,parquet+zstd,29693,3.3867,10.94,255.94
data_lottery_powerball_winning_numbers_beginn_d6yy-54nr.csv,100562,1973,4,polypress,12948,7.7666,1.38,83.24
data_lottery_powerball_winning_numbers_beginn_d6yy-54nr.csv,100562,1973,4,polypress+brotli,12406,8.1059,,
data_lottery_powerball_winning_numbers_beginn_d6yy-54nr.csv,100562,1973,4,polypress+zstd,13383,7.5142,,
data_lottery_powerball_winning_numbers_beginn_d6yy-54nr.csv,100562,1973,4,xz -9e,16300,6.1694,5.19,29.74
data_lottery_powerball_winning_numbers_beginn_d6yy-54nr.csv,100562,1973,4,zstd -19,18741,5.3659,3.29,35.3
data_lottery_powerball_winning_numbers_beginn_d6yy-54nr.csv,100562,1973,4,zstd -22,18741,5.3659,1.49,31.9
data_lottery_powerball_winning_numbers_beginn_d6yy-54nr.csv,100562,1973,4,zstd -3,23006,4.3711,32.19,41.2
data_missouri_beer_wine_and_liquor_solicitor_mmn5-wy78.csv,109355,1284,5,brotli -q11,24700,4.4273,1.31,36.0
data_missouri_beer_wine_and_liquor_solicitor_mmn5-wy78.csv,109355,1284,5,bzip2 -9,22670,4.8238,16.44,30.14
data_missouri_beer_wine_and_liquor_solicitor_mmn5-wy78.csv,109355,1284,5,feather+lz4,63762,1.715,504.03,897.59
data_missouri_beer_wine_and_liquor_solicitor_mmn5-wy78.csv,109355,1284,5,feather+zstd,39586,2.7625,329.74,658.06
data_missouri_beer_wine_and_liquor_solicitor_mmn5-wy78.csv,109355,1284,5,gzip -9,29931,3.6536,17.57,55.85
data_missouri_beer_wine_and_liquor_solicitor_mmn5-wy78.csv,109355,1284,5,lz4 -9,35872,3.0485,26.19,51.22
data_missouri_beer_wine_and_liquor_solicitor_mmn5-wy78.csv,109355,1284,5,orc+snappy,43701,2.5023,176.07,312.44
data_missouri_beer_wine_and_liquor_solicitor_mmn5-wy78.csv,109355,1284,5,orc+zlib,29951,3.6511,106.79,357.22
data_missouri_beer_wine_and_liquor_solicitor_mmn5-wy78.csv,109355,1284,5,orc+zstd,29097,3.7583,176.34,604.31
data_missouri_beer_wine_and_liquor_solicitor_mmn5-wy78.csv,109355,1284,5,parquet+brotli,31374,3.4855,2.14,166.36
data_missouri_beer_wine_and_liquor_solicitor_mmn5-wy78.csv,109355,1284,5,parquet+gzip,34351,3.1835,43.07,218.73
data_missouri_beer_wine_and_liquor_solicitor_mmn5-wy78.csv,109355,1284,5,parquet+snappy,48731,2.2441,175.8,4.07
data_missouri_beer_wine_and_liquor_solicitor_mmn5-wy78.csv,109355,1284,5,parquet+zstd,31972,3.4203,13.27,236.67
data_missouri_beer_wine_and_liquor_solicitor_mmn5-wy78.csv,109355,1284,5,polypress,22665,4.8248,1.6,49.16
data_missouri_beer_wine_and_liquor_solicitor_mmn5-wy78.csv,109355,1284,5,polypress+brotli,24460,4.4708,,
data_missouri_beer_wine_and_liquor_solicitor_mmn5-wy78.csv,109355,1284,5,polypress+zstd,27391,3.9924,,
data_missouri_beer_wine_and_liquor_solicitor_mmn5-wy78.csv,109355,1284,5,xz -9e,25664,4.261,5.75,30.51
data_missouri_beer_wine_and_liquor_solicitor_mmn5-wy78.csv,109355,1284,5,zstd -19,27496,3.9771,3.63,36.72
data_missouri_beer_wine_and_liquor_solicitor_mmn5-wy78.csv,109355,1284,5,zstd -22,27496,3.9771,1.57,33.66
data_missouri_beer_wine_and_liquor_solicitor_mmn5-wy78.csv,109355,1284,5,zstd -3,31991,3.4183,34.46,44.74
data_lottery_mega_millions_winning_numbers_be_5xaw-6ayf.csv,128013,2523,4,brotli -q11,22498,5.69,1.13,42.14
data_lottery_mega_millions_winning_numbers_be_5xaw-6ayf.csv,128013,2523,4,bzip2 -9,17100,7.4861,18.66,41.97
data_lottery_mega_millions_winning_numbers_be_5xaw-6ayf.csv,128013,2523,4,feather+lz4,65178,1.9641,666.16,1113.95
data_lottery_mega_millions_winning_numbers_be_5xaw-6ayf.csv,128013,2523,4,feather+zstd,39890,3.2092,479.4,859.08
data_lottery_mega_millions_winning_numbers_be_5xaw-6ayf.csv,128013,2523,4,gzip -9,26294,4.8685,9.85,55.42
data_lottery_mega_millions_winning_numbers_be_5xaw-6ayf.csv,128013,2523,4,lz4 -9,35504,3.6056,20.4,55.31
data_lottery_mega_millions_winning_numbers_be_5xaw-6ayf.csv,128013,2523,4,orc+snappy,24827,5.1562,232.74,688.37
data_lottery_mega_millions_winning_numbers_be_5xaw-6ayf.csv,128013,2523,4,orc+zlib,17388,7.3621,176.56,703.7
data_lottery_mega_millions_winning_numbers_be_5xaw-6ayf.csv,128013,2523,4,orc+zstd,15988,8.0068,274.64,1040.55
data_lottery_mega_millions_winning_numbers_be_5xaw-6ayf.csv,128013,2523,4,parquet+brotli,36753,3.4831,1.45,185.27
data_lottery_mega_millions_winning_numbers_be_5xaw-6ayf.csv,128013,2523,4,parquet+gzip,39505,3.2404,35.75,303.18
data_lottery_mega_millions_winning_numbers_be_5xaw-6ayf.csv,128013,2523,4,parquet+snappy,53458,2.3946,200.05,4.86
data_lottery_mega_millions_winning_numbers_be_5xaw-6ayf.csv,128013,2523,4,parquet+zstd,36180,3.5382,12.46,392.49
